Customer Voucher Discount,Membership ID,Sales Grouping,Sales Region,Sub-Grouping,Purchase Date,Profit Amount,Units,Revenue
0.5,RAS|092237,Merchandise,West,Storage Equipment,1/06/2003,-33,3,146
0.8,RSV|587827,Consoles,West,Vintage,1/03/2002,6,3,510
0.2,HRD|056410,Merchandise,West,Decals,1/09/2017,12,4,26
0.8,MSP|042857,Consoles,Central,PS5,1/08/2004,-2,2,5
0,CRD|568966,Merchandise,Central,Decals,1/09/2013,10,3,19
0.6,GAP|657692,Consoles,Central,PS5,1/02/2041,6,2,17
0.2,CCC|179487,Merchandise,East,Clothing,1/02/2024,10,3,52
0.6,LCD|493333,Merchandise,West,Decals,1/04/2011,4,2,10
0.9,DSX|267532,Consoles,Central,XBox,1/11/2027,-36,2,205
0.6,TBD|663158,Merchandise,Central,Decals,1/10/2001,6,2,13
0,LPC|701835,Merchandise,South,Clothing,1/11/2002,20,5,73
0.1,MJT|353279,Merchandise,Central,Toys,1/10/2006,421,4,896
0.2,LWD|445652,Merchandise,Central,Decals,1/11/2037,10,8,31
0.6,NWC|468657,Merchandise,East,Clothing,1/04/2038,4,2,44
0,LCS|382766,Merchandise,South,Storage Equipment,1/02/1997,10,3,333
0.2,JET|122078,Merchandise,East,Toys,1/08/2044,19,3,51
0.4,THV|518750,Consoles,East,Vintage,1/11/1995,-20,2,53
0.9,GTN|277743,Games,West,Nintendo,1/04/1995,27,3,432
0,NMN|485472,Games,East,Nintendo,1/11/2022,80,6,276
0.2,TCT|727027,Merchandise,East,Toys,1/05/2042,9,2,24
0,BFD|656250,Merchandise,East,Decals,1/07/2004,10,6,22
0.5,JOM|736842,Merchandise,South,Mugs,1/05/2003,5,3,13
0.2,BPS|679487,Games,East,Sony,1/02/2024,210,14,1120
0.4,SST|718182,Merchandise,South,Toys,1/06/2049,-6,5,7
0.6,RCP|418792,Merchandise,Central,Peripherals,1/04/1999,34,2,100
0.1,ILS|516937,Games,East,Sony,1/04/2011,58,4,288
0.2,CSS|343427,Games,South,Sony,1/02/2019,112,5,620
0.1,LRP|933803,Consoles,West,PS5,1/03/2000,31,9,95
0.3,SGM|581250,Merchandise,East,Mugs,1/07/2004,3,5,11
0.6,GKV|780228,Consoles,West,Vintage,1/09/2002,4,3,351
0.3,BFV|097110,Consoles,Central,Vintage,1/03/2046,173,3,693
0.7,JLS|752836,Games,West,Sony,1/12/2002,87,14,224
0,HGM|731481,Merchandise,South,Mugs,1/08/2023,10,12,36
0.4,GTF|303846,Merchandise,East,Furniture,1/09/2003,4,2,17
0.8,NCM|046154,Merchandise,Central,Mugs,1/12/2001,8,4,26
0.6,LSS|418889,Games,West,Sony,1/04/2007,86,3,180
0.4,RDS|631250,Merchandise,Central,Storage Equipment,1/07/2004,2,2,22
0.2,HMM|037297,Merchandise,East,Mugs,1/04/2008,9,7,123
0.4,BFD|421429,Merchandise,Central,Decals,1/04/2019,4,2,9
0,TCV|491896,Consoles,South,Vintage,1/11/2007,70,2,412
0.3,AGP|662963,Consoles,Central,PS5,1/06/2013,-106,5,108
0.1,BKC|466667,Merchandise,Central,Clothing,1/02/2039,-32,4,14
0.4,BDS|234783,Merchandise,West,Storage Equipment,1/07/1998,4,1,16
0.1,MOS|481250,Games,East,Sony,1/07/2004,11,2,32
0.3,AGD|456757,Merchandise,South,Decals,1/06/1996,23,4,49
0.3,RAN|221053,Games,Central,Nintendo,1/07/2006,13,3,51
0.3,DDT|966667,Merchandise,Central,Toys,1/02/2039,-14,7,8
0.6,MFP|691971,Merchandise,South,Peripherals,1/02/2014,86,3,183
0,MAD|599138,Merchandise,East,Decals,1/08/2002,70,5,155
0.6,LCT|077778,Merchandise,West,Toys,1/02/1998,4,3,12
0.1,RFC|609709,Merchandise,Central,Clothing,1/07/2042,61,2,138
0.4,MCN|360149,Games,East,Nintendo,1/12/2047,40,3,270
0.4,JBS|082014,Merchandise,West,Storage Equipment,1/09/2041,4,2,93
0.2,AGM|428571,Merchandise,South,Mugs,1/02/2031,0,2,5
0.6,AHN|963408,Consoles,South,Nintendo Switch,1/07/2017,24,1,239
0.6,HEP|750794,Consoles,East,PS5,1/06/1999,6,4,84
0.6,SEV|198557,Consoles,Central,Vintage,1/12/2029,-301,3,601
0.9,FGC|893750,Merchandise,East,Clothing,1/11/1995,69,6,246
0.6,NCP|348649,Consoles,West,PS5,1/08/2037,4,3,25
0.9,EBN|738587,Consoles,East,Nintendo Switch,1/06/2032,8,3,246
0,PRP|687179,Consoles,West,PS5,1/10/2000,10,4,130
0.4,JFM|973950,Merchandise,West,Mugs,1/05/2012,24,4,79
0.2,FCD|982857,Merchandise,Central,Decals,1/08/2004,9,5,24
0.3,DBS|477778,Merchandise,West,Shoes,1/02/1998,3,2,6
0.6,KMS|778134,Merchandise,Central,Storage Equipment,1/10/2002,14,5,229
0.9,MCN|911421,Games,Central,Nintendo,1/08/2018,27,3,240
0.2,GHP|885714,Consoles,West,PS5,1/12/2042,2,1,5
0.7,CCT|423377,Merchandise,South,Toys,1/12/2014,-39,5,51
0.4,BWP|053623,Consoles,South,PS5,1/06/2035,12,3,46
0.8,JED|960215,Merchandise,West,Decals,1/08/2001,28,2,62
0.3,RFN|372627,Consoles,Central,Nintendo Switch,1/10/2035,73,3,303
0.4,CPT|866667,Merchandise,East,Toys,1/02/2039,4,2,8
0.2,DKN|714167,Games,Central,Nintendo,1/09/2048,22,4,80
0.9,NKD|060714,Merchandise,East,Decals,1/12/2042,7,4,18
0.1,BDP|775714,Merchandise,East,Peripherals,1/12/2042,18,5,47
0.9,LHM|433766,Merchandise,Central,Mugs,1/02/1997,17,4,154
0.3,BDT|756818,Merchandise,East,Toys,1/06/2001,13,5,30
0.4,CSV|308073,Consoles,South,Vintage,1/09/2005,-248,3,621
0.2,JMC|711828,Merchandise,East,Clothing,1/04/2002,9,5,124
0.3,PST|080769,Merchandise,East,Toys,1/05/1997,23,4,52
0.5,SSS|513889,Games,Central,Sony,1/04/2007,15,3,48
0.8,GMS|257390,Merchandise,West,Storage Equipment,1/01/2016,108,4,773
0.5,MHS|058824,Merchandise,South,Shoes,1/12/2001,5,3,11
0.3,TBT|477778,Merchandise,South,Toys,1/02/1998,3,2,6
0.4,SDP|836842,Consoles,South,PS5,1/05/2003,4,3,12
0.7,KDN|920347,Consoles,East,Nintendo Switch,1/06/2012,116,2,578
0.2,RBP|409524,Merchandise,South,Peripherals,1/03/2027,19,8,56
0.7,JFP|088599,Consoles,West,PS5,1/06/2033,57,5,205
0.2,VMN|229231,Games,East,Nintendo,1/12/2002,62,2,130
0.4,RBN|740606,Games,West,Nintendo,1/01/2034,12,3,110
0.1,GMM|083607,Merchandise,West,Mugs,1/02/2034,11,1,41
0.8,KDT|101266,Merchandise,Central,Toys,1/09/2005,-1480,5,897
0.7,DFS|736364,Merchandise,West,Shoes,1/11/2013,7,5,14
0.3,HRM|545833,Merchandise,South,Mugs,1/09/2002,1,2,16
0.5,FOT|061538,Merchandise,East,Toys,1/05/2028,3,2,9
0.9,PBS|505229,Games,West,Sony,1/10/2002,-17,4,102
0.6,RMD|672222,Merchandise,East,Decals,1/03/2002,6,1,12
0.5,POD|886667,Merchandise,Central,Decals,1/02/2039,3,3,10
0.1,EBT|782759,Merchandise,West,Toys,1/08/1996,-13,7,19
0.7,MCC|852941,Merchandise,South,Clothing,1/08/2011,5,3,45
0.7,AGX|768669,Consoles,West,XBox,1/04/2039,-5,4,411
0.2,KNN|366902,Games,South,Nintendo,1/05/2008,29,2,472
0.4,BCM|362500,Merchandise,West,Mugs,1/03/2025,2,1,16
0.7,DRC|692324,Merchandise,West,Clothing,1/07/2010,97,4,322
0.2,JSS|840984,Merchandise,South,Storage Equipment,1/02/2015,-19,5,81
0.1,CST|911333,Merchandise,East,Toys,1/04/2011,-83,9,100
0.9,NWM|721481,Games,West,Microsoft,1/08/2023,-252,3,180
0.1,TBT|261224,Merchandise,Central,Toys,1/05/2002,-52,4,33
0.6,RBT|044737,Merchandise,East,Toys,1/10/2044,-18,4,25
0.4,BBD|077083,Merchandise,Central,Decals,1/04/2005,12,8,32
0.4,FMS|038776,Games,South,Sony,1/12/1997,14,2,33
0.3,ABT|072727,Merchandise,Central,Toys,1/12/2043,-24,5,14
0.8,BFS|234615,Merchandise,South,Shoes,1/10/2034,6,3,18
0,NCS|661850,Merchandise,West,Storage Equipment,1/01/2004,30,3,115
0.3,SNS|798148,Games,West,Sony,1/03/2002,23,3,108
0.5,SBT|311765,Merchandise,East,Toys,1/01/1997,-7,10,11
0.2,RBV|039907,Consoles,Central,Vintage,1/10/2008,112,5,430
0.6,RWT|882569,Merchandise,West,Toys,1/12/2030,-48,2,73
0.8,CPV|734330,Consoles,East,Vintage,1/01/2011,-554,4,1072
0.8,NFT|742308,Merchandise,South,Toys,1/03/2009,8,2,17
0.5,PHN|839160,Consoles,South,Nintendo Switch,1/09/2001,43,3,684
0.7,RMP|302778,Consoles,East,PS5,1/02/1998,17,3,72
0.3,CSN|387230,Consoles,West,Nintendo Switch,1/11/2002,21,7,340
0.1,PMT|087143,Merchandise,Central,Toys,1/09/2047,21,4,47
0.5,EBM|910072,Merchandise,East,Mugs,1/05/2044,25,3,93
0.5,RAN|664348,Games,Central,Nintendo,1/07/2012,13,2,154
0.8,RON|537227,Consoles,Central,Nintendo Switch,1/08/2002,-15,2,520
0.8,BDD|896667,Merchandise,East,Decals,1/02/2039,18,4,40
0.9,SGP|510256,Consoles,South,PS5,1/12/2004,9,3,26
0.4,SWN|855254,Consoles,South,Nintendo Switch,1/10/2004,-22,2,197
0.2,RHD|017949,Merchandise,East,Decals,1/04/2012,12,4,26
0.2,NPP|484375,Merchandise,East,Peripherals,1/10/2014,20,2,64
0.2,VDN|496838,Games,Central,Nintendo,1/02/2003,109,3,972
0.6,MHP|563158,Consoles,South,PS5,1/10/2001,14,5,89
0.6,LHN|230303,Games,East,Nintendo,1/10/2008,6,2,22
0.2,SFN|000238,Consoles,West,Nintendo Switch,1/07/2003,70,5,1404
0.6,LCS|072500,Games,Central,Sony,1/03/2025,44,2,160
0.7,SPP|552632,Merchandise,Central,Peripherals,1/03/2036,5,3,13
0.3,SJT|723077,Merchandise,West,Toys,1/07/2005,11,5,35
0,CSS|639175,Merchandise,East,Storage Equipment,1/12/2000,10,4,65
0.2,LHD|883256,Merchandise,Central,Decals,1/12/2004,49,9,144
0.2,LPP|786290,Consoles,East,PS5,1/09/2007,0,2,83
0.3,DFT|206993,Merchandise,West,Toys,1/11/2015,31,2,96
0.7,CKS|881356,Merchandise,Central,Storage Equipment,1/03/2013,-25,2,118
0.2,JEN|485069,Games,South,Nintendo,1/11/2005,52,2,192
0.5,TDF|676596,Merchandise,Central,Furniture,1/03/2033,3,4,32
0,EBF|924476,Merchandise,South,Furniture,1/03/2023,10,4,477
0.2,SBT|628155,Merchandise,East,Toys,1/03/2048,32,2,69
0.7,THN|339049,Consoles,West,Nintendo Switch,1/09/2006,45,5,604
0.7,EBP|378261,Merchandise,East,Peripherals,1/04/2005,7,2,16
0.6,MON|957576,Games,East,Nintendo,1/07/2031,6,4,22
0.4,JHT|093333,Merchandise,East,Toys,1/04/2011,-46,7,60
0.4,PPD|814286,Merchandise,East,Decals,1/05/2007,2,1,5
0.7,MZS|124237,Games,West,Sony,1/06/2003,67,3,372
0.6,KLV|087117,Consoles,South,Vintage,1/08/2003,-192,3,524
0.1,TSS|364957,Merchandise,West,Storage Equipment,1/12/2012,-18,2,78
0.2,GGS|415486,Merchandise,West,Storage Equipment,1/01/2024,12,4,406
0.3,PON|578183,Consoles,East,Nintendo Switch,1/08/2000,-259,4,787
0.8,AHT|602597,Merchandise,South,Toys,1/04/2033,48,3,103
0.4,EBN|968289,Games,West,Nintendo,1/08/2007,42,2,480
0.1,JET|944118,Merchandise,East,Toys,1/07/2046,11,4,23
0.9,AWS|828713,Merchandise,Central,Storage Equipment,1/11/2042,7,9,68
0.2,MSD|969444,Merchandise,East,Decals,1/07/2020,9,5,24
0.7,AGP|215058,Consoles,East,PS5,1/10/2043,17,4,173
0.8,KMS|258442,Merchandise,West,Storage Equipment,1/05/2020,-6,2,51
0.4,SVC|988889,Merchandise,East,Clothing,1/04/2007,2,7,18
0.5,TBS|022034,Merchandise,West,Storage Equipment,1/06/2007,3,3,39
0.2,VMS|444928,Merchandise,East,Storage Equipment,1/07/2010,12,3,46
0.7,DHM|356757,Merchandise,South,Mugs,1/06/1996,7,6,25
0.1,EHX|880110,Consoles,Central,XBox,1/03/2046,41,2,242
0.2,EHM|337500,Merchandise,East,Mugs,1/03/2025,2,1,6
0.7,EGV|294992,Consoles,East,Vintage,1/10/2015,-153,2,400
0.1,MPX|391525,Consoles,East,XBox,1/04/2027,-38,3,276
0.3,SSS|612057,Games,West,Sony,1/05/2006,13,2,94
0.3,EMS|268571,Games,West,Sony,1/02/2031,-1,2,23
0.8,LCN|974446,Consoles,West,Nintendo Switch,1/09/2020,36,3,572
0.5,DJB|131579,Merchandise,South,Batteries,1/10/2031,5,7,13
0.9,JCD|909677,Merchandise,East,Decals,1/12/2039,7,4,21
0.4,GAX|776948,Consoles,West,XBox,1/03/2012,-12,2,206
0.5,JFS|623913,Merchandise,West,Storage Equipment,1/04/2009,45,11,154
0.5,TTP|794839,Consoles,Central,PS5,1/03/2003,-78,5,104
0.1,DKT|116667,Merchandise,South,Toys,1/02/2039,-3,2,4
0.4,AGP|263636,Consoles,South,PS5,1/07/2036,32,8,316
0.1,CTD|636446,Merchandise,West,Decals,1/09/2020,78,5,222
0.9,DST|560714,Merchandise,West,Toys,1/12/2042,7,5,19
0.3,BVT|733333,Merchandise,Central,Toys,1/04/2011,3,1,8
0.4,EHN|970098,Games,South,Nintendo,1/07/2004,34,2,136
0.7,NGD|826087,Merchandise,South,Decals,1/01/2005,5,3,16
0.6,HKC|193130,Merchandise,Central,Clothing,1/02/2047,-227,8,87
0,RBM|124392,Games,West,Microsoft,1/03/2016,6720,4,14000
0.2,MHT|733333,Merchandise,Central,Toys,1/04/2011,-3,3,2
0.5,JLT|339841,Merchandise,West,Toys,1/04/2003,63,5,168
0.6,ARV|295026,Consoles,East,Vintage,1/10/2007,-192,3,524
0.1,DCN|034385,Consoles,South,Nintendo Switch,1/08/2015,48,2,424
0.8,TSS|142189,Merchandise,Central,Storage Equipment,1/09/2049,-126,3,671
0.5,LPF|378723,Merchandise,Central,Furniture,1/08/2043,3,4,32
0.6,JJT|107273,Merchandise,West,Toys,1/04/2006,14,3,37
0.9,DPM|893529,Merchandise,West,Mugs,1/08/2027,29,3,113
0.2,EMD|826471,Merchandise,Central,Decals,1/10/2022,22,7,45
0.8,CMD|626923,Merchandise,East,Decals,1/02/2010,8,4,18
0.6,RDS|953846,Merchandise,East,Shoes,1/09/2003,16,7,35
0.3,DSS|895041,Merchandise,West,Storage Equipment,1/12/2042,3,1,81
0.1,BFM|323173,Games,Central,Microsoft,1/02/2001,108,2,320
0.9,VWN|148936,Games,East,Nintendo,1/03/2011,-15,3,63
0.7,JPD|239130,Merchandise,Central,Decals,1/02/2047,5,3,16
0.9,BPD|346429,Merchandise,Central,Decals,1/04/2019,7,4,18
0.7,KBD|582353,Merchandise,Central,Decals,1/12/2012,17,3,34
0.7,TGS|757059,Games,Central,Sony,1/04/2006,47,4,114
0.8,TBS|534444,Merchandise,Central,Storage Equipment,1/07/2020,6,2,60
0.3,GHN|670305,Consoles,Central,Nintendo Switch,1/12/2008,-179,3,569
0.6,JKM|052174,Merchandise,Central,Mugs,1/01/2001,4,1,30
0.9,DJS|251456,Merchandise,East,Storage Equipment,1/07/2021,19,4,69
0.2,DRS|455285,Merchandise,Central,Storage Equipment,1/04/2007,-20,2,82
0.5,DCP|969643,Merchandise,South,Peripherals,1/02/2037,13,3,38
0.7,SWN|278481,Games,West,Nintendo,1/08/2023,5,1,53
0.9,JGS|478571,Merchandise,West,Shoes,1/02/2031,9,3,19
0.3,MYS|424618,Games,West,Sony,1/01/2035,53,6,480
0.2,TBS|765064,Merchandise,East,Storage Equipment,1/01/2044,52,6,209
0.7,SJN|151976,Games,Central,Nintendo,1/07/2014,25,5,220
0.3,STC|766667,Merchandise,South,Clothing,1/02/2039,1,4,14
0.8,CSN|101975,Games,East,Nintendo,1/06/2014,-124,2,744
0.6,CKS|710409,Games,South,Sony,1/08/2017,76,6,180
0.3,SSF|096104,Merchandise,Central,Furniture,1/04/2004,-11,5,52
0.4,TST|487613,Merchandise,East,Toys,1/08/2034,104,7,221
0.6,KDT|340994,Merchandise,West,Toys,1/12/2015,34,2,108
0.6,BEP|599685,Consoles,West,PS5,1/08/2040,76,8,212
0.5,CKN|201253,Consoles,West,Nintendo Switch,1/09/2004,13,3,266
0.2,JSC|698799,Merchandise,South,Clothing,1/11/1999,49,4,389
0.6,CCT|371429,Merchandise,East,Toys,1/04/2019,-8,5,9
0.6,DCX|878742,Consoles,West,XBox,1/03/1995,-14,2,308
0.2,NRX|255249,Consoles,East,XBox,1/06/2004,12,1,121
0.9,ACS|942857,Merchandise,East,Shoes,1/08/2004,9,6,19
0.7,HLP|413043,Merchandise,Central,Peripherals,1/02/2043,5,2,16
0.6,AHD|552941,Merchandise,West,Decals,1/08/2011,4,2,12
0.6,SPD|765517,Merchandise,West,Decals,1/08/2026,26,7,58
0.8,JMD|773913,Merchandise,West,Decals,1/04/2009,8,3,16
0.8,DKM|441573,Merchandise,East,Mugs,1/04/2031,18,3,60
0.6,AGS|775926,Merchandise,Central,Storage Equipment,1/05/2010,4,3,36
0.7,YCD|777778,Merchandise,Central,Decals,1/02/1998,15,4,42
0.5,EHS|563107,Games,West,Sony,1/02/2004,25,7,68
0.4,AJP|206604,Consoles,West,PS5,1/11/2033,24,6,71
0.9,LCN|385938,Consoles,Central,Nintendo Switch,1/05/2011,-6,2,85
0.3,CHD|704255,Merchandise,East,Decals,1/11/2004,11,6,31
0.3,NFN|591089,Games,Central,Nintendo,1/03/2045,73,2,270
0,NWP|487395,Consoles,East,PS5,1/06/2016,30,3,79
0.7,DSD|326087,Merchandise,Central,Decals,1/01/2005,5,3,16
0,ONS|152174,Games,Central,Sony,1/01/2001,20,2,46
0.2,GHM|189922,Merchandise,West,Mugs,1/01/2010,10,6,86
0.2,GWS|094175,Merchandise,Central,Storage Equipment,1/02/2049,9,3,137
0.7,ABN|514901,Games,West,Nintendo,1/04/2008,15,2,202
0.1,MDT|739286,Merchandise,South,Toys,1/05/2007,-13,8,19
0.9,MSP|348148,Merchandise,East,Peripherals,1/03/2002,9,3,18
0.5,PFD|592857,Merchandise,West,Decals,1/08/2004,3,2,10
0.1,AHN|837584,Consoles,East,Nintendo Switch,1/03/2032,-7,2,99
0.3,DJD|931579,Merchandise,South,Decals,1/10/2031,53,5,114
0.2,BHB|133333,Merchandise,Central,Batteries,1/04/2011,2,1,6
0.3,SPS|014286,Games,South,Sony,1/05/2007,1,3,5
0.8,GTT|503704,Merchandise,East,Toys,1/02/2042,6,5,18
0.9,RSN|306725,Games,East,Nintendo,1/10/2043,89,2,308
0.6,BDT|972881,Merchandise,West,Toys,1/08/2006,14,3,40
0.6,JHN|091414,Games,Central,Nintendo,1/01/2018,36,2,132
0.9,JFN|356098,Consoles,West,Nintendo Switch,1/07/2004,17,7,192
0.2,RPD|692941,Merchandise,Central,Decals,1/08/2011,19,2,57
0.3,APN|081860,Games,West,Nintendo,1/11/2004,11,9,144
0.1,CPS|046479,Merchandise,Central,Shoes,1/06/2023,18,4,47
0.2,BDS|613730,Games,Central,Sony,1/03/2044,102,4,292
0.3,IMP|391463,Consoles,West,PS5,1/02/2022,11,5,55
0.2,KHX|609971,Consoles,West,XBox,1/02/2014,-40,4,683
0.3,RSP|663636,Merchandise,Central,Peripherals,1/07/2036,3,1,7
0.3,WBT|483333,Merchandise,West,Toys,1/04/2011,11,3,36
0.3,AYM|966667,Merchandise,East,Mugs,1/02/2039,1,3,8
0.5,CWT|233333,Merchandise,West,Toys,1/04/2011,3,2,8
0.8,CCN|291089,Games,Central,Nintendo,1/03/2045,38,3,135
0.6,DMT|837500,Merchandise,West,Toys,1/03/2025,34,3,90
0.2,CMF|333333,Merchandise,Central,Furniture,1/04/2011,0,1,2
0.2,LHX|783908,Consoles,South,XBox,1/11/2008,172,9,639
0.9,BHP|396296,Merchandise,South,Peripherals,1/03/2008,7,3,18
0.1,KHT|116667,Merchandise,West,Toys,1/02/2039,-3,7,4
0.9,JPD|541489,Merchandise,West,Decals,1/04/2024,29,7,63
0.7,SBS|902062,Merchandise,East,Storage Equipment,1/12/2043,-15,1,65
0.4,DWN|290909,Games,Central,Nintendo,1/12/2008,4,2,15
0.6,TBT|393750,Merchandise,Central,Toys,1/11/1995,-17,5,11
0.2,DBM|426923,Merchandise,Central,Mugs,1/02/2010,12,5,35
0.2,SCM|289583,Merchandise,Central,Mugs,1/02/2032,9,4,32
0,KFC|865079,Merchandise,East,Clothing,1/06/2005,10,5,42
0.5,TSS|874887,Merchandise,East,Storage Equipment,1/02/2007,-63,5,295
0.1,JSP|971429,Consoles,East,PS5,1/04/2019,8,4,28
0.4,AST|036364,Merchandise,South,Toys,1/11/2013,-6,3,7
0.2,KCD|950538,Merchandise,South,Decals,1/05/2028,19,13,62
0,BSS|129121,Merchandise,West,Storage Equipment,1/06/2003,10,3,243
0.4,RPN|955682,Games,West,Nintendo,1/05/2040,12,3,118
0.2,SPM|630769,Merchandise,West,Mugs,1/05/1997,2,2,9
0.5,JBN|283333,Games,East,Nintendo,1/04/2011,25,1,100
0.5,THP|446154,Merchandise,East,Peripherals,1/12/2001,3,3,9
0.3,GMF|236979,Merchandise,South,Furniture,1/10/2014,83,5,4164
0.1,MCS|356667,Games,West,Sony,1/02/2039,51,4,160
0.2,CKD|348855,Merchandise,East,Decals,1/06/2004,42,5,88
0,PSV|807185,Consoles,South,Vintage,1/07/2000,100,2,455
0.1,CLN|935366,Games,East,Nintendo,1/01/2014,131,3,438
0.4,CPS|801389,Games,South,Sony,1/12/2015,12,2,48
0.8,LBT|586036,Merchandise,West,Toys,1/05/2007,46,5,148
0.1,KNN|513415,Games,West,Nintendo,1/02/2018,38,4,438
0.3,SAT|265957,Merchandise,West,Toys,1/12/2012,-25,10,31
0.2,AAD|712500,Merchandise,South,Decals,1/03/2025,2,1,5
0.9,EAN|200743,Games,East,Nintendo,1/04/1995,-45,2,180
0.5,AAS|400534,Games,South,Sony,1/01/2028,115,2,500
0.3,PGP|636032,Consoles,South,PS5,1/07/2007,41,3,165
0.8,QJS|294137,Games,East,Sony,1/06/2047,68,7,205
0.4,FCT|814286,Merchandise,West,Toys,1/05/2007,2,2,5
0.2,ABD|221622,Merchandise,East,Decals,1/05/2035,12,2,25
0.2,LAP|049462,Consoles,East,PS5,1/01/2022,52,9,124
0.7,POS|688725,Merchandise,Central,Storage Equipment,1/10/2043,-65,3,273
0.2,TTN|589281,Consoles,West,Nintendo Switch,1/12/2006,150,6,2405
0.2,GHS|882703,Merchandise,West,Storage Equipment,1/01/2042,-59,6,247
0.1,CMX|419273,Consoles,Central,XBox,1/04/2006,-37,2,183
0.3,SCN|753223,Consoles,Central,Nintendo Switch,1/04/2002,0,6,362
0.9,PNM|413725,Merchandise,South,Mugs,1/10/2043,7,5,68
0.6,VBP|925949,Consoles,East,PS5,1/04/2012,76,5,757
0.8,RLS|490645,Games,East,Sony,1/04/2037,86,2,528
0.3,TPM|561538,Merchandise,Central,Mugs,1/05/2028,3,5,9
0.4,LSP|237736,Consoles,East,PS5,1/09/2044,12,7,70
0.4,RFN|871243,Games,Central,Nintendo,1/12/2003,134,3,462
0.2,RDM|102013,Merchandise,West,Mugs,1/06/2008,42,10,99
0.2,SMS|305781,Merchandise,East,Storage Equipment,1/05/1998,282,7,1085
0.2,DLM|966667,Merchandise,West,Mugs,1/02/2039,2,2,6
0.6,MEN|700444,Games,South,Nintendo,1/07/2020,6,3,150
0.4,AGT|783333,Merchandise,West,Toys,1/04/2011,-6,5,8
0.4,HJD|962500,Merchandise,South,Decals,1/03/2025,2,1,5
0.7,AAD|586957,Merchandise,South,Decals,1/12/2012,5,3,16
0,CBP|617188,Merchandise,South,Peripherals,1/06/2000,20,4,43
0.2,CJN|286020,Consoles,South,Nintendo Switch,1/02/2008,0,5,2804
0,JKT|312500,Merchandise,South,Toys,1/03/2025,10,3,21
0.3,MRP|008205,Consoles,East,PS5,1/10/2000,21,5,130
0.7,BTV|899833,Consoles,West,Vintage,1/09/2002,-15,7,400
0.5,JKT|066667,Merchandise,Central,Toys,1/02/2039,-6,5,4
0.5,PMD|555556,Merchandise,East,Decals,1/11/2029,15,5,30
0.8,FHM|483962,Merchandise,West,Mugs,1/05/2013,18,3,71
0.3,SCD|317778,Merchandise,West,Decals,1/02/1998,13,3,30
0.2,JMP|806250,Consoles,West,PS5,1/07/2004,2,2,32
0.5,TBS|116442,Games,Central,Sony,1/05/2020,245,5,1287
0.6,DHM|998611,Merchandise,South,Mugs,1/06/2034,4,5,48
0.4,JOS|672603,Merchandise,East,Shoes,1/10/2033,32,4,98
0.7,EBV|893646,Consoles,West,Vintage,1/05/2037,-15,2,242
0.2,ECD|005263,Merchandise,East,Decals,1/06/2005,12,6,26
0.2,TST|598540,Merchandise,West,Toys,1/07/2028,30,8,91
0.1,SVN|663087,Consoles,East,Nintendo Switch,1/01/2005,-7,2,99
0.7,MGF|415827,Merchandise,East,Furniture,1/03/2002,17,7,835
0.4,JFB|616667,Merchandise,West,Batteries,1/02/2039,4,1,8
0.8,EBP|785816,Consoles,Central,PS5,1/04/2001,-42,3,94
0.2,ZCT|942857,Merchandise,South,Toys,1/08/2004,-4,4,5
0.3,ASN|506845,Games,South,Nintendo,1/08/2003,363,5,1395
0.3,NDT|366667,Merchandise,South,Toys,1/02/2039,13,4,26
0.1,SNT|731551,Merchandise,South,Toys,1/06/2029,241,8,512
0.5,RBN|028807,Consoles,Central,Nintendo Switch,1/07/2000,45,2,162
0.5,GTP|977612,Consoles,East,PS5,1/07/2034,15,2,44
0.4,ABP|838262,Consoles,South,PS5,1/05/2005,214,6,822
0.6,BEN|910241,Consoles,East,Nintendo Switch,1/10/2003,16,1,111
0.9,RHN|799115,Games,South,Nintendo,1/09/2003,59,5,226
0.4,RWF|329032,Merchandise,Central,Furniture,1/07/2007,2,3,21
0.6,NZC|463636,Merchandise,West,Clothing,1/07/2036,66,4,228
0.6,LWP|518182,Consoles,South,PS5,1/06/2049,76,5,757
0.2,LHN|038012,Consoles,West,Nintendo Switch,1/08/2041,10,2,114
0.3,LTV|049102,Consoles,Central,Vintage,1/05/2004,0,5,558
0.2,SHS|493750,Games,East,Sony,1/11/1995,2,1,32
0.8,MPN|225170,Games,Central,Nintendo,1/04/2001,6,2,98
0.9,EHT|290285,Merchandise,South,Toys,1/04/2007,-332,8,398
0.4,MFP|693333,Consoles,East,PS5,1/04/2011,4,3,10
0.7,SEP|846429,Consoles,South,PS5,1/04/2019,7,7,19
0.1,NFV|816270,Consoles,East,Vintage,1/01/2006,-77,3,673
0.4,ROS|964444,Merchandise,West,Storage Equipment,1/07/2020,4,1,30
0.1,LHX|494074,Consoles,West,XBox,1/06/2044,-153,3,90
0.8,CCN|068041,Consoles,South,Nintendo Switch,1/02/2007,6,1,65
0.2,NKF|109091,Merchandise,West,Furniture,1/04/2045,2,2,7
0,KDV|390092,Consoles,Central,Vintage,1/10/2004,200,2,802
0.1,PTS|622857,Merchandise,Central,Storage Equipment,1/08/2004,-18,3,93
0.3,KFS|450827,Merchandise,Central,Storage Equipment,1/03/2002,13,4,444
0.8,JKM|353846,Merchandise,South,Mugs,1/09/2003,8,9,26
0.8,BED|588667,Merchandise,East,Decals,1/02/2039,48,5,100
0.7,SPS|372340,Games,East,Sony,1/11/2011,-5,3,31
